library,license,link
@dqbd/tiktoken,MIT,https://www.npmjs.com/package/@dqbd/tiktoken
@floating-ui/react,MIT,https://www.npmjs.com/package/@floating-ui/react
@formatjs/intl-localematcher,MIT,https://www.npmjs.com/package/@formatjs/intl-localematcher
@fortawesome/fontawesome-svg-core,MIT,https://www.npmjs.com/package/@fortawesome/fontawesome-svg-core
@fortawesome/free-brands-svg-icons,CC-BY-4.0 AND MIT,https://www.npmjs.com/package/@fortawesome/free-brands-svg-icons
@fortawesome/free-regular-svg-icons,CC-BY-4.0 AND MIT,https://www.npmjs.com/package/@fortawesome/free-regular-svg-icons
@fortawesome/free-solid-svg-icons,CC-BY-4.0 AND MIT,https://www.npmjs.com/package/@fortawesome/free-solid-svg-icons
@fortawesome/react-fontawesome,MIT,https://www.npmjs.com/package/@fortawesome/react-fontawesome
@github/relative-time-element,MIT,https://www.npmjs.com/package/@github/relative-time-element
@google-cloud/translate,Apache-2.0,https://www.npmjs.com/package/@google-cloud/translate
@headlessui/react,MIT,https://www.npmjs.com/package/@headlessui/react
@hookform/resolvers,MIT,https://www.npmjs.com/package/@hookform/resolvers
@kodingdotninja/use-tailwind-breakpoint,MIT,https://www.npmjs.com/package/@kodingdotninja/use-tailwind-breakpoint
@marsidev/react-turnstile,MIT,https://www.npmjs.com/package/@marsidev/react-turnstile
@mdxeditor/editor,MIT,https://www.npmjs.com/package/@mdxeditor/editor
@next/third-parties,MIT,https://www.npmjs.com/package/@next/third-parties
@sentry/nextjs,MIT,https://www.npmjs.com/package/@sentry/nextjs
@tailwindcss/container-queries,MIT,https://www.npmjs.com/package/@tailwindcss/container-queries
@tanstack/react-table,MIT,https://www.npmjs.com/package/@tanstack/react-table
@types/d3,MIT,https://www.npmjs.com/package/@types/d3
@types/dompurify,MIT,https://www.npmjs.com/package/@types/dompurify
@types/lodash,MIT,https://www.npmjs.com/package/@types/lodash
@types/negotiator,MIT,https://www.npmjs.com/package/@types/negotiator
@types/node,MIT,https://www.npmjs.com/package/@types/node
@types/numeric,MIT,https://www.npmjs.com/package/@types/numeric
@types/react,MIT,https://www.npmjs.com/package/@types/react
@types/react-dom,MIT,https://www.npmjs.com/package/@types/react-dom
@types/uuid,MIT,https://www.npmjs.com/package/@types/uuid
clsx,MIT,https://www.npmjs.com/package/clsx
core-js,MIT,https://www.npmjs.com/package/core-js
d3,ISC,https://www.npmjs.com/package/d3
date-fns,MIT,https://www.npmjs.com/package/date-fns
date-fns-tz,MIT,https://www.npmjs.com/package/date-fns-tz
dompurify,MPL-2.0 OR Apache-2.0,https://www.npmjs.com/package/dompurify
file-saver,MIT,https://www.npmjs.com/package/file-saver
googleapis,Apache-2.0,https://www.npmjs.com/package/googleapis
html-react-parser,MIT,https://www.npmjs.com/package/html-react-parser
katex,MIT,https://www.npmjs.com/package/katex
lexical-beautiful-mentions,MIT,https://www.npmjs.com/package/lexical-beautiful-mentions
lodash,MIT,https://www.npmjs.com/package/lodash
mathjs,Apache-2.0,https://www.npmjs.com/package/mathjs
mdast-util-math,MIT,https://www.npmjs.com/package/mdast-util-math
micromark-extension-math,MIT,https://www.npmjs.com/package/micromark-extension-math
negotiator,MIT,https://www.npmjs.com/package/negotiator
next,MIT,https://www.npmjs.com/package/next
next-intl,MIT,https://www.npmjs.com/package/next-intl
next-themes,MIT,https://www.npmjs.com/package/next-themes
nextjs-toploader,MIT,https://www.npmjs.com/package/nextjs-toploader
numeric,MIT,https://www.npmjs.com/package/numeric
openai,Apache-2.0,https://www.npmjs.com/package/openai
posthog-js,MIT,https://www.npmjs.com/package/posthog-js
posthog-node,Apache-2.0,https://www.npmjs.com/package/posthog-node
puppeteer,Apache-2.0,https://www.npmjs.com/package/puppeteer
rc-slider,MIT,https://www.npmjs.com/package/rc-slider
react,MIT,https://www.npmjs.com/package/react
react-dom,MIT,https://www.npmjs.com/package/react-dom
react-error-boundary,MIT,https://www.npmjs.com/package/react-error-boundary
react-hook-form,MIT,https://www.npmjs.com/package/react-hook-form
react-hot-toast,MIT,https://www.npmjs.com/package/react-hot-toast
react-merge-refs,MIT,https://www.npmjs.com/package/react-merge-refs
react-tweet,MIT,https://www.npmjs.com/package/react-tweet
remark,MIT,https://www.npmjs.com/package/remark
sass,MIT,https://www.npmjs.com/package/sass
sharp,Apache-2.0,https://www.npmjs.com/package/sharp
strip-markdown,MIT,https://www.npmjs.com/package/strip-markdown
stripe,MIT,https://www.npmjs.com/package/stripe
tailwind-merge,MIT,https://www.npmjs.com/package/tailwind-merge
ts-invariant,MIT,https://www.npmjs.com/package/ts-invariant
victory,MIT,https://www.npmjs.com/package/victory
zod,MIT,https://www.npmjs.com/package/zod
eslint,MIT,https://www.npmjs.com/package/eslint
eslint-config-next,MIT,https://www.npmjs.com/package/eslint-config-next
eslint-config-prettier,MIT,https://www.npmjs.com/package/eslint-config-prettier
eslint-plugin-prettier,MIT,https://www.npmjs.com/package/eslint-plugin-prettier
husky,MIT,https://www.npmjs.com/package/husky
lint-staged,MIT,https://www.npmjs.com/package/lint-staged
npm-run-all,MIT,https://www.npmjs.com/package/npm-run-all
postcss,MIT,https://www.npmjs.com/package/postcss
prettier,MIT,https://www.npmjs.com/package/prettier
prettier-plugin-tailwindcss,MIT,https://www.npmjs.com/package/prettier-plugin-tailwindcss
server-only,MIT,https://www.npmjs.com/package/server-only
tailwindcss,MIT,https://www.npmjs.com/package/tailwindcss
typescript,Apache-2.0,https://www.npmjs.com/package/typescript
